date,focus,case_file,note_file
2025-07-01,"API services + middleware validation/auth",tests/nonprod/admin_api/cases/2025-07-01.json,docs/nonprod/admin_api/daily/2025-07-01.md
2025-07-02,"API repository/models/migrations and query fixes",tests/nonprod/admin_api/cases/2025-07-02.json,docs/nonprod/admin_api/daily/2025-07-02.md
2025-07-03,"API consumers/queues/events integration",tests/nonprod/admin_api/cases/2025-07-03.json,docs/nonprod/admin_api/daily/2025-07-03.md
2025-07-04,"API tests (unit/integration) + bug fixes",tests/nonprod/admin_api/cases/2025-07-04.json,docs/nonprod/admin_api/daily/2025-07-04.md
2025-07-05,"API refactor/performance/security hardening",tests/nonprod/admin_api/cases/2025-07-05.json,docs/nonprod/admin_api/daily/2025-07-05.md
2025-07-06,"API docs/config/chore and release notes",tests/nonprod/admin_api/cases/2025-07-06.json,docs/nonprod/admin_api/daily/2025-07-06.md
2025-07-07,"API controllers/routes for current flow",tests/nonprod/admin_api/cases/2025-07-07.json,docs/nonprod/admin_api/daily/2025-07-07.md
2025-07-08,"API services + middleware validation/auth",tests/nonprod/admin_api/cases/2025-07-08.json,docs/nonprod/admin_api/daily/2025-07-08.md
2025-07-09,"API repository/models/migrations and query fixes",tests/nonprod/admin_api/cases/2025-07-09.json,docs/nonprod/admin_api/daily/2025-07-09.md
2025-07-10,"API consumers/queues/events integration",tests/nonprod/admin_api/cases/2025-07-10.json,docs/nonprod/admin_api/daily/2025-07-10.md
2025-07-11,"API tests (unit/integration) + bug fixes",tests/nonprod/admin_api/cases/2025-07-11.json,docs/nonprod/admin_api/daily/2025-07-11.md
2025-07-12,"API refactor/performance/security hardening",tests/nonprod/admin_api/cases/2025-07-12.json,docs/nonprod/admin_api/daily/2025-07-12.md
2025-07-13,"API docs/config/chore and release notes",tests/nonprod/admin_api/cases/2025-07-13.json,docs/nonprod/admin_api/daily/2025-07-13.md
2025-07-14,"API controllers/routes for current flow",tests/nonprod/admin_api/cases/2025-07-14.json,docs/nonprod/admin_api/daily/2025-07-14.md
2025-07-15,"API services + middleware validation/auth",tests/nonprod/admin_api/cases/2025-07-15.json,docs/nonprod/admin_api/daily/2025-07-15.md
2025-07-16,"API repository/models/migrations and query fixes",tests/nonprod/admin_api/cases/2025-07-16.json,docs/nonprod/admin_api/daily/2025-07-16.md
2025-07-17,"API consumers/queues/events integration",tests/nonprod/admin_api/cases/2025-07-17.json,docs/nonprod/admin_api/daily/2025-07-17.md
2025-07-18,"API tests (unit/integration) + bug fixes",tests/nonprod/admin_api/cases/2025-07-18.json,docs/nonprod/admin_api/daily/2025-07-18.md
2025-07-19,"API refactor/performance/security hardening",tests/nonprod/admin_api/cases/2025-07-19.json,docs/nonprod/admin_api/daily/2025-07-19.md
2025-07-20,"API docs/config/chore and release notes",tests/nonprod/admin_api/cases/2025-07-20.json,docs/nonprod/admin_api/daily/2025-07-20.md
2025-07-21,"API controllers/routes for current flow",tests/nonprod/admin_api/cases/2025-07-21.json,docs/nonprod/admin_api/daily/2025-07-21.md
2025-07-22,"API services + middleware validation/auth",tests/nonprod/admin_api/cases/2025-07-22.json,docs/nonprod/admin_api/daily/2025-07-22.md
2025-07-23,"API repository/models/migrations and query fixes",tests/nonprod/admin_api/cases/2025-07-23.json,docs/nonprod/admin_api/daily/2025-07-23.md
2025-07-24,"API consumers/queues/events integration",tests/nonprod/admin_api/cases/2025-07-24.json,docs/nonprod/admin_api/daily/2025-07-24.md
2025-07-25,"API tests (unit/integration) + bug fixes",tests/nonprod/admin_api/cases/2025-07-25.json,docs/nonprod/admin_api/daily/2025-07-25.md
2025-07-26,"API refactor/performance/security hardening",tests/nonprod/admin_api/cases/2025-07-26.json,docs/nonprod/admin_api/daily/2025-07-26.md
2025-07-27,"API docs/config/chore and release notes",tests/nonprod/admin_api/cases/2025-07-27.json,docs/nonprod/admin_api/daily/2025-07-27.md
2025-07-28,"API controllers/routes for current flow",tests/nonprod/admin_api/cases/2025-07-28.json,docs/nonprod/admin_api/daily/2025-07-28.md
2025-07-29,"API services + middleware validation/auth",tests/nonprod/admin_api/cases/2025-07-29.json,docs/nonprod/admin_api/daily/2025-07-29.md
2025-07-30,"API repository/models/migrations and query fixes",tests/nonprod/admin_api/cases/2025-07-30.json,docs/nonprod/admin_api/daily/2025-07-30.md
2025-07-31,"API consumers/queues/events integration",tests/nonprod/admin_api/cases/2025-07-31.json,docs/nonprod/admin_api/daily/2025-07-31.md
2025-08-01,"API tests (unit/integration) + bug fixes",tests/nonprod/admin_api/cases/2025-08-01.json,docs/nonprod/admin_api/daily/2025-08-01.md
2025-08-02,"API refactor/performance/security hardening",tests/nonprod/admin_api/cases/2025-08-02.json,docs/nonprod/admin_api/daily/2025-08-02.md
2025-08-03,"API docs/config/chore and release notes",tests/nonprod/admin_api/cases/2025-08-03.json,docs/nonprod/admin_api/daily/2025-08-03.md
2025-08-04,"API controllers/routes for current flow",tests/nonprod/admin_api/cases/2025-08-04.json,docs/nonprod/admin_api/daily/2025-08-04.md
2025-08-05,"API services + middleware validation/auth",tests/nonprod/admin_api/cases/2025-08-05.json,docs/nonprod/admin_api/daily/2025-08-05.md
2025-08-06,"API repository/models/migrations and query fixes",tests/nonprod/admin_api/cases/2025-08-06.json,docs/nonprod/admin_api/daily/2025-08-06.md
2025-08-07,"API consumers/queues/events integration",tests/nonprod/admin_api/cases/2025-08-07.json,docs/nonprod/admin_api/daily/2025-08-07.md
